row_type,model,split,absolute_residual_mae,drre,defined_state_actions,stop_relative_pairs,defined_actions_by_action,defined_pairs_by_nonstop_action,mae_evaluable_states,drre_evaluable_states,mask_rule,lambda,evaluable_states,realized_gain,oracle_gain,oracle_gain_denominator,normalized_regret,gain_capture,selected_nonstop_states,predicted_non_STOP_count,defined_prediction_states,missing_prediction_states,predicted_non_STOP_fraction,false_stop_states,false_intervention_states,negative_intervention_states,false_stop_rate,false_intervention_rate,negative_intervention_rate,budget,budget_semantics,eligible_states,analysis_role,supplies_E4,supplies_E5_directly,cap,used,unused,selected_true_positive_states,selected_negative_states,selected_zero_gain_states,selection_sha256
prediction,R0_SMALL_P,COCO_EXTERNAL,0.0320757029463153,0.011837868485516196,44414,24415,"{""A3"":19999,""A4"":1470,""A5"":1473,""A6"":1473,""STOP"":19999}","{""A3"":19999,""A4"":1470,""A5"":1473,""A6"":1473}",19999,19999,DEFINED_ACTION_CELLS_AND_DEFINED_STOP_RELATIVE_PAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intervention,R0_SMALL_P,COCO_EXTERNAL,,,,,,,,,,0.0,19996,1.073954883685825,11.886041072341227,11.886041072341227,0.9096457031277713,0.09035429687222889,2545,2545,19999,1,0.1272563628181409,839,2286,184,0.04195839167833567,0.11432286457291459,0.07229862475442043,,,,,,,,,,,,,
sparse,R0_SMALL_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.1703124604982254,11.084297709264035,11.084297709264035,,-0.015365200842258292,,,,,,,,,,,,0.01,FORCED_K,19996,PRIMARY,False,False,200,200,0,42,48,110,7f9e1645299a5f217c716b29ea123e29461a2f3092b44372470d70519eda87c1
sparse,R0_SMALL_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.1703124604982254,11.084297709264035,11.084297709264035,,-0.015365200842258292,,,,,,,,,,,,0.01,POSITIVE_GAIN_CAP,19996,SECONDARY_SENSITIVITY,False,False,200,200,0,42,48,110,7f9e1645299a5f217c716b29ea123e29461a2f3092b44372470d70519eda87c1
sparse,R0_SMALL_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.21418928923477776,11.647607416545636,11.647607416545636,,-0.018389123325921682,,,,,,,,,,,,0.02,FORCED_K,19996,PRIMARY,False,False,400,400,0,59,63,278,6140df4ae8d15112f266d0f4b6050b67d379ea1b5c1ba596dee8b10bdbdc7a50
sparse,R0_SMALL_P,COCO_EXTERNAL,,,,,,,,,,0.0,,-0.21418928923477776,11.647607416545636,11.647607416545636,,-0.018389123325921682,,,,,,,,,,,,0.02,POSITIVE_GAIN_CAP,19996,SECONDARY_SENSITIVITY,False,False,400,400,0,59,63,278,6140df4ae8d15112f266d0f4b6050b67d379ea1b5c1ba596dee8b10bdbdc7a50
sparse,R0_SMALL_P,COCO_EXTERNAL,,,,,,,,,,0.0,,0.1363247552384494,11.884213250654975,11.884213250654975,,0.011471079520635169,,,,,,,,,,,,0.05,FORCED_K,19996,PRIMARY,False,False,1000,1000,0,89,91,820,d56e700f0cdb00cebe4598c06d24b8038b433d5ed9c5e0a37d6d5ad1da853c3f
sparse,R0_SMALL_P,COCO_EXTERNAL,,,,,,,,,,0.0,,0.1363247552384494,11.884213250654975,11.884213250654975,,0.011471079520635169,,,,,,,,,,,,0.05,POSITIVE_GAIN_CAP,19996,SECONDARY_SENSITIVITY,False,False,1000,1000,0,89,91,820,d56e700f0cdb00cebe4598c06d24b8038b433d5ed9c5e0a37d6d5ad1da853c3f
prediction,R0_CM_P,COCO_EXTERNAL,0.008892323652185678,0.006632816151972109,44414,24415,"{""A3"":19999,""A4"":1470,""A5"":1473,""A6"":1473,""STOP"":19999}","{""A3"":19999,""A4"":1470,""A5"":1473,""A6"":1473}",19999,19999,DEFINED_ACTION_CELLS_AND_DEFINED_STOP_RELATIVE_PAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intervention,R0_CM_P,COCO_EXTERNAL,,,,,,,,,,0.0,19996,0.6979214192464267,11.886041072341227,11.886041072341227,0.9412822642123889,0.05871773578761117,2403,2403,19999,1,0.12015600780039001,939,2244,132,0.046959391878375674,0.11222244448889777,0.05493133583021224,,,,,,,,,,,,,
