category,state_id,image_group_id,class_id,action,plan_feasible,r1_predicted_residual,true_residual,r1_selected,display_oracle,comparison_model,comparison_prediction,comparison_selected
Q1,voc_trajectory_state_6b70e2c1c19830d3812c756474805bba70433d3381bd661e3acdc55902a8b305,group_713182776f643fa794afafd6b5fb92d456d1b1467aab62b69b54ffc8c331c490,8,STOP,True,0.007590692800780137,0.0,True,True,,,False
Q1,voc_trajectory_state_6b70e2c1c19830d3812c756474805bba70433d3381bd661e3acdc55902a8b305,group_713182776f643fa794afafd6b5fb92d456d1b1467aab62b69b54ffc8c331c490,8,A3,True,0.00784138155480226,0.0,False,False,,,False
Q1,voc_trajectory_state_6b70e2c1c19830d3812c756474805bba70433d3381bd661e3acdc55902a8b305,group_713182776f643fa794afafd6b5fb92d456d1b1467aab62b69b54ffc8c331c490,8,A4,False,0.008013473823666573,,False,False,,,False
Q1,voc_trajectory_state_6b70e2c1c19830d3812c756474805bba70433d3381bd661e3acdc55902a8b305,group_713182776f643fa794afafd6b5fb92d456d1b1467aab62b69b54ffc8c331c490,8,A5,False,0.007954438216984272,,False,False,,,False
Q1,voc_trajectory_state_6b70e2c1c19830d3812c756474805bba70433d3381bd661e3acdc55902a8b305,group_713182776f643fa794afafd6b5fb92d456d1b1467aab62b69b54ffc8c331c490,8,A6,False,0.008159583900123835,,False,False,,,False
Q2,voc_trajectory_state_b7923b11263328b6bde087d7d48fa2d9db74acbc6535f7e27723fd970eadb7fe,group_a3e24e74e6b009517f4c4659d198fbd49ea1a512be0aa2f7169168417541fdb8,19,STOP,True,0.016333723440766335,0.004603717941790819,True,False,,,False
Q2,voc_trajectory_state_b7923b11263328b6bde087d7d48fa2d9db74acbc6535f7e27723fd970eadb7fe,group_a3e24e74e6b009517f4c4659d198fbd49ea1a512be0aa2f7169168417541fdb8,19,A3,True,0.01720241643488407,0.0037641841918230057,False,False,,,False
Q2,voc_trajectory_state_b7923b11263328b6bde087d7d48fa2d9db74acbc6535f7e27723fd970eadb7fe,group_a3e24e74e6b009517f4c4659d198fbd49ea1a512be0aa2f7169168417541fdb8,19,A4,True,0.01863047418495019,0.005015254486352205,False,False,,,False
Q2,voc_trajectory_state_b7923b11263328b6bde087d7d48fa2d9db74acbc6535f7e27723fd970eadb7fe,group_a3e24e74e6b009517f4c4659d198fbd49ea1a512be0aa2f7169168417541fdb8,19,A5,True,0.01944255145887534,0.006601040251553059,False,False,,,False
Q2,voc_trajectory_state_b7923b11263328b6bde087d7d48fa2d9db74acbc6535f7e27723fd970eadb7fe,group_a3e24e74e6b009517f4c4659d198fbd49ea1a512be0aa2f7169168417541fdb8,19,A6,True,0.020175039147337277,0.0021619368344545364,False,True,,,False
