model,canonical_model_id,budget,cap,used,signed_gain,oracle_denominator,gain_capture,negative_count,budget_semantics,eligible_states,lambda_value
G-small,R0_SMALL_P,0.01,200,200,-0.1703124604982254,11.084297709264035,-0.015365200842258292,48,FORCED_K,19996,0.0
G-small,R0_SMALL_P,0.02,400,400,-0.21418928923477776,11.647607416545636,-0.018389123325921682,63,FORCED_K,19996,0.0
G-small,R0_SMALL_P,0.05,1000,1000,0.1363247552384494,11.884213250654975,0.011471079520635169,91,FORCED_K,19996,0.0
G-match,R0_CM_P,0.01,200,200,-0.023318215607983722,11.084297709264035,-0.0021037161053960884,83,FORCED_K,19996,0.0
G-match,R0_CM_P,0.02,400,400,0.3206671529921735,11.647607416545636,0.02753073155064104,96,FORCED_K,19996,0.0
G-match,R0_CM_P,0.05,1000,1000,0.3147500862043229,11.884213250654975,0.026484722174349745,105,FORCED_K,19996,0.0
Atom,R1_P,0.01,200,200,-0.3137034975611428,11.084297709264035,-0.02830161240607564,60,FORCED_K,19996,0.0
Atom,R1_P,0.02,400,400,-0.3091568571260916,11.647607416545636,-0.026542520370915722,63,FORCED_K,19996,0.0
Atom,R1_P,0.05,1000,1000,-0.3298001244211242,11.884213250654975,-0.027751111282267503,74,FORCED_K,19996,0.0
Rect,RECT_P,0.01,200,200,-0.18734478675395655,11.084297709264035,-0.016901818380191783,65,FORCED_K,19996,0.0
Rect,RECT_P,0.02,400,400,-0.08448194890862887,11.647607416545636,-0.007253159029778145,69,FORCED_K,19996,0.0
Rect,RECT_P,0.05,1000,1000,-0.11893672457907313,11.884213250654975,-0.010007959472834112,83,FORCED_K,19996,0.0
Union,UNION_P,0.01,200,200,-0.18079917339692084,11.084297709264035,-0.016311288106761378,57,FORCED_K,19996,0.0
Union,UNION_P,0.02,400,400,-0.18079917339692084,11.647607416545636,-0.01552243022374641,57,FORCED_K,19996,0.0
Union,UNION_P,0.05,1000,1000,-0.21154769783989,11.884213250654975,-0.017800732230064197,62,FORCED_K,19996,0.0
Relative,R3_P,0.01,200,200,-0.11822401352583778,11.084297709264035,-0.01066590023353744,109,FORCED_K,19996,0.0
Relative,R3_P,0.02,400,400,-0.12526079006122998,11.647607416545636,-0.010754207759723664,208,FORCED_K,19996,0.0
Relative,R3_P,0.05,1000,1000,0.5985176876830631,11.884213250654975,0.05036241567358925,491,FORCED_K,19996,0.0
